City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
0,Samarai,-10.6167,150.6667,78.35,overcast clouds,86,100,16.24,PG
1,Khatanga,71.9667,102.5,26.83,scattered clouds,81,37,8.1,RU
2,Lebu,-37.6167,-73.65,54.57,few clouds,59,21,17.34,CL
3,Puerto Narino,-3.7703,-70.3831,85.95,overcast clouds,53,99,3.91,CO
4,Bagdarin,54.4333,113.6,31.39,overcast clouds,74,100,3.09,RU
5,Havelock,34.8791,-76.9013,83.05,clear sky,50,3,4.0,US
6,Elko,41.0002,-115.5012,75.74,clear sky,10,0,7.0,US
7,Pangnirtung,66.1451,-65.7125,33.8,scattered clouds,75,40,4.61,CA
8,Ushuaia,-54.8,-68.3,51.46,scattered clouds,40,40,11.5,AR
9,Kapaa,22.0752,-159.319,79.2,few clouds,73,11,3.0,US
10,Mataura,-46.1927,168.8643,41.49,broken clouds,80,70,2.95,NZ
11,Langenburg,49.2544,9.8458,64.35,clear sky,79,0,2.3,DE
12,Cape Town,-33.9258,18.4232,60.1,scattered clouds,59,40,8.05,ZA
13,Alofi,-19.0595,-169.9187,69.69,scattered clouds,94,40,6.91,NU
14,Hermanus,-34.4187,19.2345,57.9,scattered clouds,77,25,7.61,ZA
15,Yegros,-26.45,-56.4,100.69,clear sky,20,0,2.26,PY
16,Longyearbyen,78.2186,15.6401,33.64,scattered clouds,86,40,0.0,SJ
17,Mount Gambier,-37.8333,140.7667,51.71,broken clouds,71,75,6.91,AU
18,Guerrero Negro,27.9769,-114.0611,73.51,scattered clouds,61,40,13.87,MX
19,Dalby,-27.1833,151.2667,56.1,overcast clouds,80,100,3.0,AU
20,Port Alfred,-33.5906,26.891,64.6,light rain,86,100,21.92,ZA
21,Khamgaon,20.6833,76.5667,76.26,overcast clouds,88,100,3.91,IN
22,Cabo San Lucas,22.8909,-109.9124,94.6,clear sky,67,6,1.01,MX
23,Olenegorsk,68.15,33.3,44.47,few clouds,92,20,4.54,RU
24,Mahibadhoo,3.7833,72.9667,80.47,overcast clouds,82,100,17.6,MV
25,Mountain Home,43.133,-115.6912,77.56,clear sky,21,1,0.0,US
26,Lompoc,34.6391,-120.4579,65.32,light intensity drizzle,85,90,5.75,US
27,Kavieng,-2.5744,150.7967,81.81,overcast clouds,76,100,9.17,PG
28,Hamilton,39.1834,-84.5333,85.75,clear sky,48,0,4.0,US
29,Vaini,-21.2,-175.2,62.76,scattered clouds,94,40,2.3,TO
30,Carnarvon,-24.8667,113.6333,62.67,clear sky,72,5,11.5,AU
31,Rikitea,-23.1203,-134.9692,73.85,light rain,71,49,21.81,PF
32,Porbandar,21.6422,69.6093,79.86,overcast clouds,87,100,6.82,IN
33,Goya,-29.14,-59.2626,95.95,clear sky,19,8,3.2,AR
34,Teuchitlan,20.6833,-103.8667,80.28,overcast clouds,49,100,3.65,MX
35,Vestmanna,62.1564,-7.1664,45.52,overcast clouds,100,90,6.91,FO
36,Fortuna,40.5982,-124.1573,67.42,scattered clouds,79,40,3.0,US
37,Wawa,9.9022,4.4192,78.78,light rain,78,91,1.95,NG
38,College,64.8569,-147.8028,32.58,overcast clouds,79,90,3.44,US
39,Riyadh,24.6877,46.7219,82.54,overcast clouds,12,100,9.31,SA
40,Pahrump,36.2083,-115.9839,87.94,clear sky,25,0,7.0,US
41,Cidreira,-30.1811,-50.2056,71.01,clear sky,79,0,10.47,BR
42,Norman Wells,65.282,-126.8329,32.04,light snow,86,90,2.3,CA
43,Yellowknife,62.456,-114.3525,50.41,few clouds,80,20,3.0,CA
44,Albany,42.6001,-73.9662,75.31,broken clouds,67,82,1.01,US
45,Chokurdakh,70.6333,147.9167,16.09,clear sky,87,6,9.98,RU
46,Sao Joao Do Paraiso,-15.3136,-42.0144,86.83,overcast clouds,26,86,9.95,BR
47,Roald,62.5833,6.1333,68.92,clear sky,52,0,20.71,NO
48,Bambous Virieux,-20.3428,57.7575,72.21,few clouds,73,20,12.66,MU
