City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Khatanga,RU,26.83,scattered clouds,71.9667,102.5,
2,Lebu,CL,54.57,few clouds,-37.6167,-73.65,
4,Bagdarin,RU,31.39,overcast clouds,54.4333,113.6,
7,Pangnirtung,CA,33.8,scattered clouds,66.1451,-65.7125,
8,Ushuaia,AR,51.46,scattered clouds,-54.8,-68.3,
10,Mataura,NZ,41.49,broken clouds,-46.1927,168.8643,
14,Hermanus,ZA,57.9,scattered clouds,-34.4187,19.2345,
15,Yegros,PY,100.69,clear sky,-26.45,-56.4,
16,Longyearbyen,SJ,33.64,scattered clouds,78.2186,15.6401,
17,Mount Gambier,AU,51.71,broken clouds,-37.8333,140.7667,
19,Dalby,AU,56.1,overcast clouds,-27.1833,151.2667,
22,Cabo San Lucas,MX,94.6,clear sky,22.8909,-109.9124,
23,Olenegorsk,RU,44.47,few clouds,68.15,33.3,
33,Goya,AR,95.95,clear sky,-29.14,-59.2626,
35,Vestmanna,FO,45.52,overcast clouds,62.1564,-7.1664,
38,College,US,32.58,overcast clouds,64.8569,-147.8028,
42,Norman Wells,CA,32.04,light snow,65.282,-126.8329,
43,Yellowknife,CA,50.41,few clouds,62.456,-114.3525,
45,Chokurdakh,RU,16.09,clear sky,70.6333,147.9167,
49,Vila,PT,57.7,overcast clouds,42.0304,-8.1588,
50,Zinder,NE,91.36,clear sky,13.8072,8.9881,
51,Mnogovershinnyy,RU,47.39,light rain,53.9353,139.9242,
57,Nome,US,33.04,few clouds,64.5011,-165.4064,
59,Ilulissat,GL,21.13,clear sky,69.2167,-51.1,
60,Punta Arenas,CL,50.11,broken clouds,-53.15,-70.9167,
62,Berezovyy,RU,50.63,clear sky,51.6667,135.7,
63,Egvekinot,RU,21.38,overcast clouds,66.3167,-179.1667,
66,Barrow,US,28.42,light snow,71.2906,-156.7887,
67,Saskylakh,RU,25.83,few clouds,71.9167,114.0833,
68,Kodiak,US,43.56,overcast clouds,57.79,-152.4072,
69,Salta,AR,91.69,few clouds,-24.7859,-65.4117,
73,Bluff,NZ,41.81,broken clouds,-46.6,168.3333,
75,Coquimbo,CL,58.73,few clouds,-29.9533,-71.3436,
76,Saldanha,ZA,57.25,clear sky,-33.0117,17.9442,
77,New Norfolk,AU,45.9,broken clouds,-42.7826,147.0587,
78,Asekeyevo,RU,41.38,overcast clouds,53.5742,52.7972,
79,Ust-Koksa,RU,34.83,light rain,50.2696,85.6108,
84,Tiksi,RU,32.18,light snow,71.6872,128.8694,
94,Ballina,AU,53.56,overcast clouds,-28.8667,153.5667,
95,Cherskiy,RU,22.44,light snow,68.75,161.3,
96,Nikolskoye,RU,48.09,clear sky,59.7035,30.7861,
99,Havre-Saint-Pierre,CA,57.56,clear sky,50.2334,-63.5986,
101,Dikson,RU,35.55,few clouds,73.5069,80.5464,
104,Warrington,GB,56.79,scattered clouds,53.3925,-2.5802,
109,Vestmannaeyjar,IS,43.79,few clouds,63.4427,-20.2734,
110,Hobart,AU,46.26,broken clouds,-42.8794,147.3294,
118,Provideniya,RU,28.63,scattered clouds,64.3833,-173.3,
119,Lerwick,GB,50.36,overcast clouds,60.1545,-1.1494,
124,Taoudenni,ML,100.63,few clouds,22.6783,-3.9836,
128,Codrington,AU,48.76,overcast clouds,-38.2667,141.9667,
129,Adrar,MR,98.2,clear sky,20.5022,-10.0711,
131,Bredasdorp,ZA,56.52,few clouds,-34.5322,20.0403,
135,Tuktoyaktuk,CA,32.0,broken clouds,69.4541,-133.0374,
139,Geraldton,AU,52.21,scattered clouds,-28.7667,114.6,
142,Pingliang,CN,57.31,overcast clouds,35.5392,106.6861,
143,Beringovskiy,RU,35.38,scattered clouds,63.05,179.3167,
146,Wasilla,US,38.52,clear sky,61.5814,-149.4394,
151,Evensk,RU,38.62,overcast clouds,61.95,159.2333,
153,Iranshahr,IR,91.74,clear sky,27.2025,60.6848,
154,Atar,MR,105.85,clear sky,20.5169,-13.0499,
159,Kaitangata,NZ,41.94,scattered clouds,-46.2817,169.8464,
161,Berlevag,NO,55.4,clear sky,70.8578,29.0864,
163,Ourossogui,SN,96.8,thunderstorm,15.6064,-13.3211,
164,Tasiilaq,GL,29.21,clear sky,65.6145,-37.6368,
165,Santo Antonio Do Sudoeste,BR,93.63,clear sky,-26.0736,-53.7253,
166,Severo-Kurilsk,RU,47.1,few clouds,50.6789,156.125,
167,Moose Factory,CA,48.2,overcast clouds,51.2585,-80.6094,
168,Northam,GB,58.01,light rain,51.0333,-4.2167,
170,Airai,TL,57.36,broken clouds,-8.9266,125.4092,
175,Ciudad Bolivar,VE,95.54,broken clouds,8.1222,-63.5497,
177,Perelyub,RU,46.71,overcast clouds,51.8667,50.3667,
180,Beya,RU,27.63,clear sky,53.0533,90.9139,
182,Wabag,PG,56.08,overcast clouds,-5.4781,143.7021,
185,Husavik,IS,39.11,clear sky,66.0449,-17.3389,
187,Esperance,AU,55.24,overcast clouds,-33.8667,121.9,
188,Te Anau,NZ,33.62,few clouds,-45.4167,167.7167,
189,Mozarlandia,BR,97.47,overcast clouds,-14.7447,-50.5706,
190,Tornio,FI,44.62,scattered clouds,65.8481,24.1466,
195,Dolores,AR,48.0,overcast clouds,-36.3132,-57.6792,
196,Thompson,CA,55.56,overcast clouds,55.7435,-97.8558,
200,Busselton,AU,51.08,scattered clouds,-33.65,115.3333,
202,Balkhash,KZ,55.44,broken clouds,46.844,74.9804,
203,Newport,GB,57.85,light rain,51.5877,-2.9984,
204,Sisimiut,GL,33.17,clear sky,66.9395,-53.6735,
205,Prince Rupert,CA,53.69,light rain,54.3161,-130.3201,
206,Anadyr,RU,36.1,scattered clouds,64.75,177.4833,
208,Koslan,RU,37.33,few clouds,63.4564,48.8989,
211,Klaksvik,FO,47.32,overcast clouds,62.2266,-6.589,
213,Kargasok,RU,34.3,few clouds,59.0556,80.8572,
216,Nanortalik,GL,36.1,clear sky,60.1432,-45.2371,
221,Esil,KZ,39.85,broken clouds,51.9556,66.4042,
225,Iwanai,JP,54.5,light rain,42.9744,140.5089,
226,Qaanaaq,GL,24.42,overcast clouds,77.484,-69.3632,
227,Toora-Khem,RU,15.76,broken clouds,52.4675,96.11,
228,Mehamn,NO,55.35,clear sky,71.0357,27.8492,
230,Lyuban,BY,49.3,overcast clouds,52.7985,28.0048,
232,Talnakh,RU,30.97,scattered clouds,69.4865,88.3972,
237,Fairbanks,US,33.1,overcast clouds,64.8378,-147.7164,
238,Iqaluit,CA,37.13,broken clouds,63.7506,-68.5145,
240,Mar Del Plata,AR,53.01,broken clouds,-38.0023,-57.5575,
244,Tuatapere,NZ,41.83,overcast clouds,-46.1333,167.6833,
245,Nikolayevsk-Na-Amure,RU,52.02,light rain,53.1406,140.73,
250,Pevek,RU,22.44,overcast clouds,69.7008,170.3133,
251,Senneterre,CA,48.42,overcast clouds,48.3835,-77.2328,
252,Zeya,RU,39.88,clear sky,53.75,127.2667,
254,Vaxjo,SE,53.8,broken clouds,56.8777,14.8091,
255,Qasigiannguit,GL,17.91,clear sky,68.8193,-51.1922,
258,Lago Da Pedra,BR,93.06,scattered clouds,-4.3333,-45.1667,
262,Vagur,FO,47.52,overcast clouds,61.4732,-6.8119,
266,Redlands,US,94.93,clear sky,34.0556,-117.1825,
267,Sitka,US,48.31,moderate rain,57.0531,-135.33,
268,Aklavik,CA,31.03,few clouds,68.2191,-135.0107,
277,Bilibino,RU,16.45,light snow,68.0546,166.4372,
279,Rochegda,RU,44.37,overcast clouds,62.8,43.25,
283,Oksfjord,NO,59.92,overcast clouds,70.2396,22.3479,
286,Araouane,ML,96.75,clear sky,18.9048,-3.5265,
287,Santa Cruz,BO,95.05,smoke,-17.8,-63.1667,
296,Agapovka,RU,33.01,light snow,53.2973,59.1348,
297,Tigil,RU,35.26,overcast clouds,57.8,158.6667,
300,Balakhta,RU,30.88,scattered clouds,55.38,91.6,
301,Swan Hill,AU,48.33,light rain,-35.3378,143.5544,
303,Coihaique,CL,50.61,broken clouds,-45.5752,-72.0662,
305,Lanzhou,CN,52.88,scattered clouds,36.0564,103.7922,
307,Alekseyevka,RU,47.23,few clouds,50.6309,38.6903,
311,Fort Myers Beach,US,91.06,clear sky,26.452,-81.9481,
312,Namtsy,RU,35.71,broken clouds,62.7161,129.6658,
313,Areia Branca,BR,95.2,scattered clouds,-4.9561,-37.1369,
314,Ngunguru,NZ,43.16,few clouds,-35.6167,174.5,
316,Olafsvik,IS,36.41,overcast clouds,64.8945,-23.7142,
317,Champerico,GT,91.94,broken clouds,14.3,-91.9167,
322,Port Lincoln,AU,58.19,light rain,-34.7333,135.8667,
